"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000158089.16",44.2153805576824,8.57929814523547,2.27998895683997,3.76286828911937,0.000167975678222914,0.00877327763211528
"ENSG00000214711.11",12.82725248975,6.79397704440508,2.13038611667375,3.18908248191777,0.00142725147602396,0.043973762143114
"ENSG00000013016.17",635.002159854766,6.95246507870662,1.82152506516575,3.81683744663374,0.000135173161212403,0.00746929667264625
"ENSG00000150938.11",101.139626867958,-5.68715507137088,1.73459439159883,-3.27866566323257,0.00104299125301401,0.0354242726457297
"ENSG00000227292.2",86.0105025153532,-23.0058491551585,4.78554996589024,-4.80735742373108,1.5293841665717e-06,0.000184366800610582
"ENSG00000143889.16",157.761256655419,5.81792177413532,1.72669486921328,3.36939773081396,0.000753326405366886,0.0275725990116923
"ENSG00000075340.24",253.173488868119,-11.8070860350977,1.93644652738041,-6.09729515798719,1.07878222622728e-09,5.67327852834213e-07
"ENSG00000042493.17",49.7010177771078,-4.49818714018096,1.22418974799283,-3.67441987449751,0.000238390437768295,0.0115053562227983
"ENSG00000243466.1",220.824120989738,-24.927741130616,4.78505927703932,-5.20949473922499,1.89355576571989e-07,3.60982737287425e-05
"ENSG00000253497.1",22.1276073694923,-8.29421055447194,2.56550100632597,-3.23297887391984,0.00122506621859362,0.0393760832367612
"ENSG00000242371.1",13.3739748998349,-7.56011806485256,2.35289457117768,-3.21311382050941,0.00131304243245684,0.0413744011103292
"ENSG00000196843.19",101.155228111152,-4.09225207858734,1.16596569539331,-3.5097534127768,0.000448522434988558,0.0191608281680966
"ENSG00000189223.16",107.035062406083,-8.11822641746602,2.34245218183335,-3.4656956843884,0.00052886151169626,0.0211143112954965
"ENSG00000115107.21",27.0228379938783,-7.12588043295203,1.91980221725919,-3.71177841596897,0.000205808122061221,0.0102910808837891
"ENSG00000155368.19",845.338142465756,-2.53299792627566,0.750130968062959,-3.37674090807976,0.000733501072766328,0.0271833902653808
"ENSG00000290596.2",49.6625757114266,8.74677988808769,1.82914669759815,4.78189086724048,1.73653952490938e-06,0.000199127551085662
"ENSG00000121966.8",587.089444866318,-7.9835688132698,0.914016378366267,-8.73460148224018,2.44516649851481e-18,1.24304114229498e-14
"ENSG00000168280.18",372.392157241401,4.66060337669674,0.948360318979126,4.9143804136741,8.90636681068597e-07,0.000118109127217995
"ENSG00000054219.12",34.6384513781066,-8.93805837439699,1.86162428434233,-4.80121496564738,1.57705863489994e-06,0.000187904072194211
"ENSG00000153250.22",63.068483145291,-6.75864729285579,1.24919846430639,-5.41038712900474,6.2888650360782e-08,1.47556124100352e-05
"ENSG00000136560.15",544.890238497891,2.64198628338577,0.825510087420847,3.2004288301796,0.00137223254026207,0.042710037697014
"ENSG00000082438.19",830.634100519121,24.9402290035761,4.78478628405713,5.2124018760622,1.86411173881752e-07,3.59867950996277e-05
"ENSG00000178662.17",324.992378032255,11.4570139429992,1.8078071375291,6.33752002918775,2.33492864670214e-10,1.42439987163417e-07
"ENSG00000071909.19",136.503595447626,8.79028183468416,1.8661090591043,4.71048666303743,2.47125972199251e-06,0.000275103518394947
"ENSG00000230552.7",24.0559673020712,7.70099495800137,1.9428764906745,3.96370793252424,7.37945288626969e-05,0.00450176143873996
"ENSG00000232568.2",17.5587935480295,-7.95374429287255,2.17834653539669,-3.65127593963103,0.00026094069283357,0.0123590264174061
"ENSG00000204186.12",340.241057101349,-4.67463959586499,1.44681996634258,-3.23097531455972,0.0012336859404442,0.0394443276262358
"ENSG00000114948.14",30.2702868336463,-5.25280471622702,1.5141006656199,-3.46925725316712,0.000521899459144301,0.0210012893177038
"ENSG00000227308.3",20.8569889748562,7.49529499365078,1.98735118449913,3.77150000066033,0.000162269157555225,0.00858455073355627
"ENSG00000288902.3",20.9529090818687,6.00293804221414,1.85534660482787,3.2354806517519,0.00121438115408562,0.0393760832367612
"ENSG00000135905.21",284.301684032726,-8.95764877803472,2.1657787724828,-4.13599435540034,3.53420877878144e-05,0.00243892389525772
"ENSG00000081052.14",115.003566530229,-4.63406678943995,1.14244193062626,-4.05628213146873,4.98600275990685e-05,0.00319502218871174
"ENSG00000169031.22",129.414841597842,-5.28168774764536,1.12065016946247,-4.71305666261466,2.44028304169451e-06,0.000273652622565316
"ENSG00000187957.9",47.777864848786,8.69105284201537,2.53058198959605,3.43440871615572,0.000593848048410149,0.0230320091825218
"ENSG00000163053.12",46.9959699200412,-5.90131705573066,1.43311327036979,-4.11783016579556,3.82456372802497e-05,0.00259237428516039
"ENSG00000135916.16",643.028239647945,-7.63230887507321,2.26492104644155,-3.36979025695595,0.00075225418671216,0.0275725990116923
"ENSG00000135914.7",114.429935970574,-7.61230449788851,2.2593892131921,-3.36918688176515,0.000753902943274257,0.0275725990116923
"ENSG00000237039.1",62.2640708803154,-7.33018864766844,1.53025005875914,-4.79019007756966,1.66623397514753e-06,0.000193982704999809
"ENSG00000156966.8",213.120804303489,-4.93422972319604,0.958548102984167,-5.14760783296604,2.63829343598239e-07,4.62489806806522e-05
"ENSG00000077044.12",1025.90379910227,-2.52854392648025,0.707962209723701,-3.57158036368506,0.000354833632214027,0.0157313015258608
"ENSG00000293137.3",36.8018445595783,4.64059307831397,1.4225665724073,3.26212717796471,0.00110579521439145,0.0369025882159389
"ENSG00000134107.6",544.457135544274,-6.55705154079624,1.13007661235972,-5.80230709058248,6.54086264030798e-09,2.55781272121377e-06
"ENSG00000163513.21",389.964987106985,-12.4305968902453,1.73870241559641,-7.14935274647407,8.71880195963897e-13,1.47744942984949e-09
"ENSG00000168016.16",1196.03967477005,2.94456692385711,0.847213059969953,3.47559198858613,0.000509727144405935,0.0206202882740979
"ENSG00000170011.15",204.097199596329,8.48303821651773,2.23180047817823,3.80098413790209,0.000144122529017108,0.00785004532157115
"ENSG00000164050.14",108.93022356779,3.51270393548599,0.977208023207641,3.59463272104101,0.000324849514647948,0.0147414649829383
"ENSG00000114251.15",385.5197804679,11.7033860661239,1.74513660092202,6.70628652217856,1.99639550941862e-11,2.242218863141e-08
"ENSG00000244586.1",14.8937800217039,7.00916527693839,2.20231359088675,3.18263725290647,0.00145940327435533,0.0448737083411152
"ENSG00000144749.15",56.0329733086479,4.53213588965212,1.21402204584332,3.73315781634252,0.000189094030223864,0.00959988683412778
"ENSG00000270562.2",28.4611331302959,4.06565981169198,1.22544832516365,3.31769176080847,0.000907645879255583,0.0315319072996057
"ENSG00000185008.19",384.102235348344,11.6980863727625,1.70874692033235,6.84600290046883,7.59419396614263e-12,9.65158768147011e-09
"ENSG00000169855.21",828.169873383852,25.4485919628658,4.78478642711989,5.31864741519593,1.04541499578222e-07,2.31067015951806e-05
"ENSG00000248839.2",19.2550349008847,-8.08687114592827,2.31605775583856,-3.49165348987608,0.000480040563975002,0.0199484976598985
"ENSG00000154165.5",256.138014236697,-11.8242111345484,1.72433506945751,-6.85725839715614,7.0194598058732e-12,9.65158768147011e-09
"ENSG00000153283.15",120.194163771455,-24.098808115769,4.78532165280189,-5.03598501088401,4.75397761968661e-07,7.39825639569801e-05
"ENSG00000163606.11",18.7196415461857,-8.05382479460233,2.14726217387073,-3.75074124278183,0.000176312578257075,0.00908426733445489
"ENSG00000243276.7",39.4665852346238,8.41519338009192,2.63023777327568,3.19940404840726,0.00137712018924015,0.0427748676295347
"ENSG00000082781.13",65.2289449774595,-9.84992990162158,2.49404865788886,-3.94937358999213,7.83559773249989e-05,0.00468630200071983
"ENSG00000169255.16",55.3965801080443,6.33997617037874,1.6528324387254,3.83582510957245,0.00012514344053741,0.00704266646360161
"ENSG00000234851.4",538.730000157948,-5.11952299354788,1.14386334103092,-4.47564215925817,7.61819886094831e-06,0.000671590467215738
"ENSG00000163536.14",37.5231016685341,-6.00333590922968,1.52841682306206,-3.92781328931101,8.5721717484929e-05,0.00505078400260013
"ENSG00000163584.19",609.949430788651,-4.59385714891973,0.779787489328777,-5.89116549288834,3.83481267979591e-09,1.5806683291775e-06
"ENSG00000197584.14",19.5401063070432,-8.11544443167096,2.46146603984975,-3.29699630232003,0.000977247878108819,0.0337194737308543
"ENSG00000145012.16",1027.41512312651,2.4457710315117,0.759341345870839,3.22091118152773,0.00127783742816543,0.0405162133408545
"ENSG00000152492.16",676.045340965025,-13.2243837471716,2.0783469828305,-6.36293355075934,1.97936338412813e-10,1.31249004223209e-07
"ENSG00000174004.7",142.964642184564,-7.54553208963636,1.84472904235682,-4.09031999626146,4.30778431324071e-05,0.00285643558961887
"ENSG00000114473.15",129.703613274444,2.73336844054709,0.819833877515119,3.33405158717253,0.000855907820995185,0.0303889035994107
"ENSG00000272602.6",26.9873379455876,5.39081959216416,1.69656386433144,3.17749287574772,0.00148554339628402,0.0453120446734551
"ENSG00000185818.8",211.283582061416,-11.5460554569938,1.97430504656782,-5.84816185171878,4.97034815193848e-09,1.99480999118984e-06
"ENSG00000168824.16",110.085611016567,-6.32779974861373,1.90205988454999,-3.32681415554423,0.000878449382704682,0.0307275952652044
"ENSG00000173040.14",25.050692053448,7.75965525444624,2.36313594659107,3.28362626180685,0.00102480727387172,0.0350387666489275
"ENSG00000287416.1",32.2489327201404,8.12401928353683,2.39077893359422,3.3980637730162,0.000678645981388228,0.0254300488013559
"ENSG00000163697.19",60.4958601481163,-5.25295887097578,1.57494735004492,-3.33532347657588,0.00085200227475817,0.0303595483465814
"ENSG00000124406.18",888.472225583961,2.86864203284758,0.906889384261421,3.16316640444946,0.00156063098491894,0.0469451344201159
"ENSG00000074966.13",84.6362776299083,-5.59925003681343,1.64640096631453,-3.40090303114153,0.000671636480025549,0.0252293792041124
"ENSG00000132464.13",26.5578259872304,-6.07989259150352,1.64822330978352,-3.68875537399242,0.000225353761373173,0.0110510296292677
"ENSG00000132465.13",1724.92237729495,-5.79633439103128,1.40573811411448,-4.12333871638858,3.7341995628787e-05,0.0025538241046396
"ENSG00000173542.9",704.901350991668,2.5593262790419,0.716811556798118,3.57043110531588,0.000356394185506663,0.0157546890526438
"ENSG00000169435.15",458.315374536909,6.07976316178679,1.22421378781735,4.9662593431711,6.82566623378266e-07,9.72880707770274e-05
"ENSG00000248713.2",88.0223404146063,9.57256852778714,2.27326745891751,4.210929290452,2.54322346746993e-05,0.00182097188274103
"ENSG00000138801.10",350.573106946347,2.98598424958371,0.737578933899182,4.04835891095536,5.15780110901139e-05,0.00329128136876706
"ENSG00000138795.11",182.495820026879,-11.3354667657349,1.72822938724444,-6.55900591055717,5.41676558635300e-11,4.58950510874832e-08
"ENSG00000145362.22",63.6356678924494,-3.08782605707246,0.972425249807237,-3.17538654789616,0.00149637022356785,0.0454604427881141
"ENSG00000174607.13",82.7197809935717,-10.1926189830748,1.84244643989352,-5.53211141576733,3.16398814526277e-08,8.61678271489331e-06
"ENSG00000164056.12",30.4944072490623,-8.75114422871942,2.12480083031639,-4.11857154038119,3.81228220331707e-05,0.00259237428516039
"ENSG00000151012.13",339.150705391138,3.16767460844504,0.850171344351645,3.72592493206268,0.000194600317187701,0.00982731601797888
"ENSG00000109436.9",372.342043304858,-7.19379303839563,2.15539061848268,-3.33758204972601,0.000845107658711835,0.0301843955574103
"ENSG00000248809.7",92.957806182135,5.02839768783467,1.51008019710807,3.32988784136396,0.000868809729404747,0.0304602693865559
"ENSG00000307093.1",36.9301648757869,8.31958937790361,2.04135015820066,4.07553272743609,4.59091246723645e-05,0.00299042699261596
"ENSG00000145451.13",247.225503069615,-6.98065318513534,1.85493929933549,-3.76327850061513,0.000167700264007841,0.00877327763211528
"ENSG00000150625.18",46.4907899458933,-6.89589859145961,1.80744385374458,-3.81527679389488,0.000136030367642818,0.00748952757011052
"ENSG00000164236.12",654.287332783178,-7.71636623422462,1.15311796824592,-6.69174052153782,2.20531656593764e-11,2.242218863141e-08
"ENSG00000197603.17",89.675410926445,-10.3091422573376,1.84490867790697,-5.5878875636453,2.29848374572676e-08,6.58187659857627e-06
"ENSG00000082074.20",126.877224257449,8.6797567302681,1.73393090597409,5.00582618394012,5.56229333628853e-07,8.48305356717363e-05
"ENSG00000171522.7",174.950593988016,-6.48994877487087,1.49596770116331,-4.3382947170745,1.43592518800778e-05,0.00112304077140034
"ENSG00000198865.11",62.868940068141,9.08699343389835,1.79129259993095,5.07286940963673,3.91861429820319e-07,6.22529027728092e-05
"ENSG00000178996.15",87.482967204734,-5.07673986641433,1.54987901679696,-3.27557171327224,0.00105448338862398,0.0355794826546555
"ENSG00000145703.17",375.195717277294,-8.94333838716368,1.99636278090197,-4.47981623015584,7.47073318279718e-06,0.000662419487039766
"ENSG00000152409.11",46.9786308652683,-9.37540040502086,2.0635865975254,-4.54325513465904,5.53921412912426e-06,0.000515883286299399
"ENSG00000152413.16",52.1468193999568,-7.06519290135263,1.58227722829957,-4.46520544882353,7.99919540812723e-06,0.000697118452396277
"ENSG00000113319.14",74.2597172372033,5.62589463184691,1.61363768798825,3.4864670512628,0.000489445671765717,0.0201704410725344
"ENSG00000214485.6",35.2307069432359,-3.83364486744452,1.12902816694189,-3.3955263293638,0.000684967854746985,0.0255414297133161
"ENSG00000253522.7",78.9314102684574,-7.66516806396484,2.2399824689634,-3.42197681016318,0.000621676156400044,0.0238220679931082
"ENSG00000290043.3",40.8308406946798,4.66720186024127,1.17985203014666,3.95575185785044,7.62943219611412e-05,0.00458096340247781
"ENSG00000137265.17",618.631418425308,-8.20457474515836,1.38639953464734,-5.9179006773436,3.26076769637067e-09,1.42085623249569e-06
"ENSG00000054598.9",28.7719286890466,-8.67265018594978,1.97394588113593,-4.39356026364766,1.11509259430958e-05,0.000929304762612862
"ENSG00000124570.22",72.4381122023417,-6.95760569145441,1.69124891263251,-4.1138862762812,3.89053157247562e-05,0.0026254202217622
"ENSG00000124491.17",133.837946940047,6.87406761197393,1.68126984053005,4.08861650061288,4.33953591393853e-05,0.00286503299668729
"ENSG00000112149.12",425.188094551282,-5.19494593949167,1.1880278489271,-4.37274761208941,1.22692536241349e-05,0.00100063308567744
"ENSG00000137177.20",17.7847699006222,-7.97206086447552,2.32159288423435,-3.43387547343584,0.000595017481995514,0.0230320091825218
"ENSG00000137393.11",448.147823490664,4.0580799679265,1.06074852720186,3.82567579766645,0.000130413828668248,0.00725890985773524
"ENSG00000079691.20",78.1749625401627,-23.5103288305603,4.78563086088339,-4.91269166260361,8.98344945071627e-07,0.000118109127217995
"ENSG00000276966.3",23.9614654450869,-4.30200432358192,1.22983176675723,-3.49804293551894,0.000468685673868537,0.0197478630877702
"ENSG00000204580.15",31.4611939340818,-5.31808158575491,1.28009142690618,-4.15445449752603,3.26064493300617e-05,0.00227068930928206
"ENSG00000204528.4",12.5689932565736,-7.47757637220696,2.15137028159519,-3.47572727771554,0.000509470093747606,0.0206202882740979
"ENSG00000204520.15",39.3462800012937,-5.33332363227858,1.47725907306336,-3.61028321269267,0.000305862851490807,0.0140851999275899
"ENSG00000204475.11",40.6131367399484,-7.71141327773829,2.05039157742053,-3.76094662242006,0.000169271551715132,0.0087914788707002
"ENSG00000242574.10",1094.36564361128,-2.85909182472078,0.838414858585626,-3.41011588170558,0.000649352826471642,0.0245738956737445
"ENSG00000204252.15",513.507443323725,-2.49769500682739,0.717393100046331,-3.48162674922032,0.000498377852090243,0.0203228893642468
"ENSG00000124507.12",135.68849692944,-5.85999718352494,0.946634641217323,-6.19034728751242,6.00318030983516e-10,3.26980367518914e-07
"ENSG00000137193.15",265.085442763178,-5.05844820923723,1.33784915627674,-3.78103030936237,0.000156180656267932,0.00838701122796562
"ENSG00000124813.24",110.11824971258,-6.13441854404494,1.15733960663619,-5.3004481215973,1.15518788055874e-07,2.48137610794385e-05
"ENSG00000082293.13",76.6399291520246,-7.63245370128759,2.05366342182697,-3.71650661942338,0.000201996351350041,0.0101337051132877
"ENSG00000196586.18",309.582191282566,-4.51434243593011,1.2948119030847,-3.48648512202841,0.000489412605895218,0.0201704410725344
"ENSG00000135324.7",41.3280783047579,8.48183255129104,2.62585500286628,3.23012220478001,0.00123737316686078,0.0394794522338782
"ENSG00000112218.10",21.3760459461585,-8.23818670322803,2.0822300590606,-3.95642482797733,7.60798138278692e-05,0.00458096340247781
"ENSG00000219135.1",137.342426465311,-5.43479925944717,1.38920196465486,-3.91217360594318,9.14691171032186e-05,0.00536536732669687
"ENSG00000164484.13",16.2863760819865,-7.84496327273931,2.22313224286921,-3.52878840109596,0.000417466786123192,0.0180915895211044
"ENSG00000079931.16",20.8678356042264,-8.2066492481664,1.96661907492578,-4.17297348164698,3.00649946233267e-05,0.00210330840825851
"ENSG00000146409.13",66.8774439426827,-6.42724417267785,1.15070460355421,-5.58548575614097,2.330478895306e-08,6.58187659857627e-06
"ENSG00000118515.13",166.66188357408,-4.09887832565349,0.948542187920868,-4.32123987509498,1.55154888359e-05,0.00120115086414371
"ENSG00000112379.10",20.1880149352354,-8.15541453296089,2.38995116645081,-3.41237705918153,0.000643989681046835,0.0244315587702619
"ENSG00000112419.16",60.2322954217577,-5.66392055782257,1.79217284726142,-3.16036512129814,0.00157571541481108,0.0471200701789878
"ENSG00000135604.12",12.1732981881347,-7.43306725843641,2.22132451909508,-3.3462320316279,0.00081917815340981,0.0293269624827536
"ENSG00000111962.9",41.4079336719311,-9.19345157510866,2.34069192419213,-3.92766407235831,8.5774903722604e-05,0.00505078400260013
"ENSG00000198729.6",18.7177499349729,-8.04610871154111,2.39606530031255,-3.35805068020957,0.00078494220068761,0.0284350439493747
"ENSG00000074706.15",351.38992826762,-10.8306622777942,2.49490032225118,-4.34112023682834,1.41758120016096e-05,0.00111440880843582
"ENSG00000130340.18",261.928224420311,-9.40165692304353,1.83479898405851,-5.12408007892363,2.98993898446745e-07,5.13166718707577e-05
"ENSG00000078269.15",141.409089181082,-6.16609511384518,1.74739881821473,-3.52872798674827,0.000417562095038275,0.0180915895211044
"ENSG00000164694.18",573.660249837026,7.86137083279778,2.23095671796496,3.52376662868153,0.000425458796400671,0.0183295822144255
"ENSG00000236081.2",103.286116268437,-23.8948077434535,4.78541589359292,-4.99325623410196,5.93697064564193e-07,8.81874900544711e-05
"ENSG00000174945.15",140.04935735012,-5.80047760031739,1.70288289782312,-3.40626922011632,0.000658572023021972,0.0248595853358515
"ENSG00000230333.7",66.5497385553377,9.16917276795852,2.0427257057829,4.4886950519107,7.16607924369616e-06,0.000646685648198877
"ENSG00000106546.15",41.4329165169416,-5.73689146761003,1.45302365011545,-3.94824369662132,7.87266422164979e-05,0.00469007820485863
"ENSG00000136237.20",909.347398124738,6.37591633995954,1.64157281470737,3.88402895249952,0.00010273966554305,0.00598046808853839
"ENSG00000233476.3",156.982547079873,-2.68336000459093,0.776178811987049,-3.45714152866582,0.000545938045633748,0.021570210191607
"ENSG00000136193.18",1346.90257656225,11.1372786341722,1.39118158264036,8.00562541450158,1.1886102381336e-15,4.53187368544387e-12
"ENSG00000180354.17",737.945096034042,4.08567929788378,0.793174475389119,5.15104737312608,2.59035741229283e-07,4.59366754591604e-05
"ENSG00000281103.5",90.6879280764641,3.76771576752475,1.18629890014144,3.17602567706632,0.00149307734962035,0.0454509434312573
"ENSG00000158683.10",42.9430638293139,4.54427100873767,1.28173890839075,3.54539522752188,0.000392024800536488,0.0171311467993753
"ENSG00000086730.18",379.097547166956,-4.76180538758731,1.08284442558133,-4.39749725361602,1.09506269997628e-05,0.000917626441611993
"ENSG00000106665.17",512.734776066006,-8.57819865664114,1.84299291600431,-4.6544935589004,3.24777989159835e-06,0.000341599249150113
"ENSG00000106211.11",162.533322562632,-4.06050859581923,0.966875979244061,-4.19961678952236,2.67367096068973e-05,0.00190542784212519
"ENSG00000127951.8",39.9521676856758,6.05903406178265,1.53111130135392,3.95727864879895,7.58084805446125e-05,0.00458096340247781
"ENSG00000157240.4",170.952071583134,2.65734734288322,0.818403423116331,3.24698952597794,0.00116632681931454,0.0384182512340519
"ENSG00000105854.14",57.6235148051812,-9.67053943846804,2.20762083386823,-4.38052553686185,1.18393415630166e-05,0.000970762355793363
"ENSG00000241468.9",3353.64611226047,-3.91649334912564,0.965120602328998,-4.05803517164019,4.94873161428061e-05,0.00318451923415162
"ENSG00000308821.1",26.7134209917721,-7.11530234443912,1.90148619401547,-3.74196897502229,0.000182584060786362,0.00934426010420406
